Key,English,German,Spanish,Portuguese,Bengali,Hindi,French,Japanese,Korean,Arabic
Basket.Delivery,Delivery,Lieferung,Entrega,Entrega,বিতরণ,वितरण,Livraison,配達,배달,توصيل
Basket.Courier,Courier,Kurier,mensajero,Correio,কুরিয়ার,संदेशवाहक,Courrier,宅配便,택배원,ساعي
Basket.Post,Post,Post,Correo,Publicar,পোস্ট,डाक,Poste,役職,우편,بريد
Basket.CashInfo,"After placing an order, a manager will contact you to clarify the data. Payment is made by cash or card upon receipt of the order at the local post office or by courier at the time of delivery","Nach dem Aufgeben einer Bestellung wird ein Manager Sie kontaktieren, um die Daten zu klären. Die Zahlung erfolgt nach Eingang der Bestellung in der örtlichen Post oder zum Kurier zum Zeitpunkt der Lieferung durch Bargeld oder Karte","Después de realizar un pedido, un gerente se comunicará con usted para aclarar los datos. El pago se realiza en efectivo o tarjeta al recibir el pedido en la oficina de correos local o por mensajería al momento de la entrega","Depois de fazer um pedido, um gerente entrará em contato com você para esclarecer os dados. O pagamento é feito por dinheiro ou cartão após o recebimento do pedido nos correios locais ou por correio no momento da entrega","অর্ডার দেওয়ার পরে, একজন পরিচালক ডেটা স্পষ্ট করতে আপনার সাথে যোগাযোগ করবেন। স্থানীয় পোস্ট অফিসে অর্ডার প্রাপ্তির পরে বা প্রসবের সময় কুরিয়ার দ্বারা নগদ বা কার্ডের মাধ্যমে অর্থ প্রদান করা হয়","एक आदेश देने के बाद, एक प्रबंधक डेटा को स्पष्ट करने के लिए आपसे संपर्क करेगा। डिलीवरी के समय या कूरियर द्वारा ऑर्डर प्राप्त होने पर नकद या कार्ड द्वारा भुगतान किया जाता है","Après avoir passé une commande, un gestionnaire vous contactera pour clarifier les données. Le paiement est effectué en espèces ou par carte à la réception de la commande au bureau de poste local ou par courrier au moment de la livraison",注文した後、マネージャーはお客様に連絡してデータを明確にします。支払いは、現地郵便局での注文を受け取ったときに現金またはカードによって行われるか、配達時に宅配便で行われます,주문을 한 후 관리자는 귀하에게 연락하여 데이터를 명확히합니다. 지불은 현금 또는 카드로 현금 또는 카드로 현지 우체국에서 주문을 받거나 배송시 택배에 의해 이루어집니다.,بعد تقديم طلب ، سيتصل بك المدير لتوضيح البيانات. يتم الدفع بالنقد أو البطاقة عند استلام الطلب في مكتب البريد المحلي أو بواسطة البريد السريع في وقت التسليم
Basket.Save,Save my data for future orders,Speichern Sie meine Daten für zukünftige Bestellungen,Guardar mis datos para pedidos futuros,Salve meus dados para pedidos futuros,ভবিষ্যতের আদেশের জন্য আমার ডেটা সংরক্ষণ করুন,भविष्य के आदेशों के लिए मेरा डेटा सहेजें,Enregistrez mes données pour les commandes futures,将来の注文のために私のデータを保存します,향후 주문을 위해 내 데이터를 저장하십시오,احفظ بياناتي للطلبات المستقبلية
Settings.Language,Language,Sprache,Idioma,Linguagem,ভাষা,भाषा,Langue,言語,언어,لغة
Settings.Delivery,Delivery address,Lieferadresse,Dirección de entrega,Endereço de entrega,সরবরাহের ঠিকানা,डिलिवरी का पता,Adresse de livraison,配達アドレス,배달 주소,عنوان التسليم
Settings.Privacy,Privacy policy,Datenschutzrichtlinie,Política de privacidad,Política de Privacidade,গোপনীয়তা নীতি,गोपनीयता नीति,Politique de confidentialité,プライバシーポリシー,개인 정보 정책,سياسة الخصوصية
Settings.Terms,Terms of use,Nutzungsbedingungen,Condiciones de uso,Termos de uso,ব্যবহারের শর্তাবলী,उपयोग की शर्तें,Conditions d'utilisation,利用規約,이용 약관,شروط الاستخدام
Clothes.Beach,Beach hat,Strandhut,Sombrero de playa,Chapéu de praia,সৈকত টুপি,समुद्र तट की टोपी,Chapeau de plage,ビーチハット,해변 모자,قبعة الشاطئ
Clothes.BeachDesk,"This stylish beach hat is a must-have accessory for sunny days by the water. Made from lightweight and breathable materials, it features a wide brim to provide shade and protection from the sun. The versatile design makes it suitable for various beach activities or simply lounging by the pool.","Dieser stilvolle Strandhut ist ein Muss für sonnige Tage am Wasser. Es besteht aus leichten und atmungsaktiven Materialien und verfügt über einen breiten Rand, um Schatten und Schutz vor der Sonne zu bieten. Das vielseitige Design macht es für verschiedene Strandaktivitäten geeignet oder einfach am Pool.","Este elegante sombrero de playa es un accesorio imprescindible para los días soleados junto al agua. Hecho de materiales ligeros y transpirables, presenta un borde ancho para proporcionar sombra y protección del sol. El diseño versátil lo hace adecuado para varias actividades de playa o simplemente descansando junto a la piscina.","Este elegante chapéu de praia é um acessório obrigatório para dias ensolarados pela água. Feito de materiais leves e respiráveis, ele possui uma aba larga para fornecer sombra e proteção do sol. O design versátil o torna adequado para várias atividades na praia ou simplesmente descansando à beira da piscina.","এই আড়ম্বরপূর্ণ সৈকত টুপিটি জলের দ্বারা রৌদ্রোজ্জ্বল দিনগুলির জন্য অবশ্যই একটি আনুষাঙ্গিক। লাইটওয়েট এবং শ্বাস প্রশ্বাসের উপকরণ থেকে তৈরি, এটি সূর্য থেকে ছায়া এবং সুরক্ষা সরবরাহ করার জন্য একটি প্রশস্ত কান্ড বৈশিষ্ট্যযুক্ত। বহুমুখী নকশা এটিকে বিভিন্ন সৈকত ক্রিয়াকলাপের জন্য উপযুক্ত করে তোলে বা কেবল পুলের সাহায্যে দীর্ঘায়িত হয়।","यह स्टाइलिश समुद्र तट टोपी पानी द्वारा धूप के दिनों के लिए एक गौण है। हल्के और सांस लेने वाली सामग्रियों से निर्मित, यह सूर्य से छाया और सुरक्षा प्रदान करने के लिए एक विस्तृत ब्रिम की सुविधा देता है। बहुमुखी डिजाइन इसे विभिन्न समुद्र तट गतिविधियों या बस पूल द्वारा लाउंजिंग के लिए उपयुक्त बनाता है।","Ce chapeau de plage élégant est un accessoire incontournable pour les jours ensoleillés au bord de l'eau. Fabriqué à partir de matériaux légers et respirants, il dispose d'un large bord pour fournir de l'ombre et une protection contre le soleil. Le design polyvalent le rend adapté à diverses activités de plage ou simplement se prélasser près de la piscine.",このスタイリッシュなビーチハットは、水による晴れた日には必須のアクセサリーです。軽量で通気性のある素材で作られており、太陽からの日陰と保護を提供するための広いつばを特徴としています。汎用性の高いデザインにより、さまざまなビーチアクティビティやプールでのラウンティングに適しています。,이 세련된 해변 모자는 물에 의해 맑은 날에 필수 액세서리입니다. 가볍고 통기성이 뛰어난 재료로 제작 된이 제품은 넓은 챙이있어 태양으로부터 음영과 보호를 제공합니다. 다재다능한 디자인은 다양한 해변 활동에 적합하거나 수영장에서 단순히 어울리는 데 적합합니다.,هذه القبعة الشاطئية الأنيقة هي ملحق لا بد منه للأيام المشمسة بالمياه. مصنوع من مواد خفيفة الوزن والتنفس ، فهي تتميز بحافة واسعة لتوفير الظل والحماية من الشمس. التصميم متعدد الاستخدامات يجعله مناسبًا للأنشطة الشاطئية المختلفة أو ببساطة التسكع بجوار حمام السباحة.
Clothes.BlackHoodie,Black hoodie,Schwarzer Kapuzenpullover,Capucha negra,Hoodie preto,ব্ল্যাক হুডি,एक प्रकार का,Sweat à capuche noir,黒いパーカー,검은 까마귀,جارزة سوداء بقبعة شتوية
Clothes.BlackHoodieDesk,"This classic black hoodie is a wardrobe staple that offers both comfort and style. Made from soft and cozy fabric, it features a hood, front pocket, and ribbed cuffs and hem. Perfect for casual outings or lounging at home, it can be paired with jeans or leggings for a relaxed yet fashionable look.","Dieser klassische schwarze Hoodie ist ein Kleiderschrank -Grundnahrungsmittel, der sowohl Komfort als auch Stil bietet. Es besteht aus weichem und gemütlichem Stoff und verfügt über eine Kapuze, eine vordere Tasche und gerippte Manschetten und einen Saum. Perfekt für ungezwungene Ausflüge oder Faulenzen zu Hause und kann mit Jeans oder Leggings für einen entspannten, aber modischen Look kombiniert werden.","Esta clásica sudadera con capucha negra es un elemento básico de vestuario que ofrece comodidad y estilo. Hecho de tela suave y acogedora, presenta una capucha, bolsillo delantero y puños acanalados y dobladillo. Perfecto para salidas informales o descansar en casa, se puede combinar con jeans o leggings para un aspecto relajado pero de moda.","Este capuz preto clássico é um grampo de guarda -roupa que oferece conforto e estilo. Feito de tecido macio e aconchegante, possui um capô, bolso dianteiro e punhos com nervuras e bainha. Perfeito para passeios casuais ou relaxar em casa, ele pode ser combinado com jeans ou leggings para uma aparência descontraída e elegante.","এই ক্লাসিক ব্ল্যাক হুডি একটি ওয়ারড্রোব প্রধান যা আরাম এবং শৈলী উভয়ই সরবরাহ করে। নরম এবং আরামদায়ক ফ্যাব্রিক থেকে তৈরি, এটিতে একটি হুড, সামনের পকেট এবং পাঁজরযুক্ত কাফ এবং হেম রয়েছে। নৈমিত্তিক আউটিং বা বাড়িতে লাউংিংয়ের জন্য উপযুক্ত, এটি একটি স্বাচ্ছন্দ্যময় তবে ফ্যাশনেবল চেহারার জন্য জিন্স বা লেগিংসের সাথে জুড়ি দেওয়া যেতে পারে।","यह क्लासिक ब्लैक हूडि एक अलमारी स्टेपल है जो आराम और शैली दोनों प्रदान करता है। नरम और आरामदायक कपड़े से निर्मित, इसमें एक हुड, फ्रंट पॉकेट और रिब्ड कफ और हेम शामिल हैं। कैज़ुअल आउटिंग या घर पर लाउंज के लिए बिल्कुल सही, इसे जींस या लेगिंग के साथ एक आरामदायक अभी तक फैशनेबल लुक के लिए जोड़ा जा सकता है।","Ce sweat à capuche noir classique est un incontournable de la garde-robe qui offre à la fois le confort et le style. Fabriqué en tissu doux et confortable, il dispose d'une capuche, d'une poche avant et de poignets côtelés et d'ourlet. Parfait pour les sorties décontractées ou se prélasser à la maison, il peut être associé à un jean ou à des leggings pour un look détendu mais à la mode.",このクラシックなブラックパーカーは、快適さとスタイルの両方を提供するワードローブの定番です。柔らかくて居心地の良い生地で作られており、フード、フロントポケット、リブ付きの袖口と裾があります。カジュアルな外出や自宅でのくつろいに最適な、ジーンズやレギンスと組み合わせて、リラックスしていたがファッショナブルな外観にすることができます。,"이 클래식 블랙 까마귀는 안락함과 스타일을 모두 제공하는 옷장 필수품입니다. 부드럽고 아늑한 직물로 만든이 제품에는 후드, 앞 주머니 및 리브 커프와 밑단이 있습니다. 캐주얼 소풍이나 집에서 어울리는 데 적합하며 편안하지만 세련된 외관을 위해 청바지 나 레깅스와 짝을 이룰 수 있습니다.",هذا هوديي الأسود الكلاسيكي هو عنصر أساسي في خزانة الملابس التي توفر الراحة والأناقة. مصنوع من نسيج ناعم ودافئ ، ويتميز بغطاء محرك وجيب أمامي وأصفاد مضلعة وتنحنح. مثالي للنزهات غير الرسمية أو التسكع في المنزل ، يمكن إقرانها مع الجينز أو اللباس الداخلي لإلقاء نظرة مريحة ولكنها عصرية.
Clothes.BlackKeds,Black keds,Schwarze Keds,Keds negros,Keds pretos,কালো কেডস,ब्लैक केड्स,Keds noirs,黒いケッド,블랙 케드,keds السود
Clothes.BlackKedsDesk,"These black keds are a classic and versatile choice for everyday wear. Made from durable canvas, they feature a comfortable fit, rubber sole, and simple design. Perfect for running errands or casual outings, they can be paired with jeans, shorts, or dresses for a stylish and effortless look.","Diese schwarzen KEDs sind eine klassische und vielseitige Wahl für den Alltag. Sie werden aus dauerhaften Leinwand hergestellt und verfügen über eine bequeme Passform, eine Gummi -Sohle und ein einfaches Design. Perfekt für Besorgungen oder ungezwungene Ausflüge können mit Jeans, Shorts oder Kleidern für einen stilvollen und mühelosen Look kombiniert werden.","Estos Keds negros son una opción clásica y versátil para el uso diario. Hechos de lienzos duraderos, cuentan con un ajuste cómodo, suela de goma y diseño simple. Perfecto para hacer mandados o salidas casuales, se pueden combinar con jeans, pantalones cortos o vestidos para un aspecto elegante y sin esfuerzo.","Esses Keds pretos são uma escolha clássica e versátil para o uso diário. Feito de tela durável, eles apresentam um ajuste confortável, sola de borracha e design simples. Perfeito para fazer recados ou passeios casuais, eles podem ser combinados com jeans, shorts ou vestidos para uma aparência elegante e sem esforço.","এই কালো কেডগুলি প্রতিদিনের পরিধানের জন্য একটি ক্লাসিক এবং বহুমুখী পছন্দ। টেকসই ক্যানভাস থেকে তৈরি, এগুলিতে একটি আরামদায়ক ফিট, রাবার একক এবং সাধারণ নকশা বৈশিষ্ট্যযুক্ত। কাজগুলি বা নৈমিত্তিক আউটগুলি চালানোর জন্য উপযুক্ত, তারা স্টাইলিশ এবং অনায়াস চেহারার জন্য জিন্স, শর্টস বা পোশাকের সাথে জুড়ি দেওয়া যেতে পারে।","ये ब्लैक केड्स रोजमर्रा के पहनने के लिए एक क्लासिक और बहुमुखी विकल्प हैं। टिकाऊ कैनवास से निर्मित, वे एक आरामदायक फिट, रबर एकमात्र और सरल डिजाइन की सुविधा देते हैं। कामों या आकस्मिक आउटिंग चलाने के लिए बिल्कुल सही, उन्हें जींस, शॉर्ट्स, या एक स्टाइलिश और सहज रूप के लिए कपड़े के साथ जोड़ा जा सकता है।","Ces Keds noirs sont un choix classique et polyvalent pour l'usure quotidienne. Fabriqués à partir de toile durable, ils comportent un ajustement confortable, une semelle en caoutchouc et une conception simple. Parfait pour faire des courses ou des sorties décontractées, ils peuvent être associés à un jean, un short ou des robes pour un look élégant et sans effort.",これらの黒いケッドは、日常の摩耗のための古典的で多目的な選択です。耐久性のあるキャンバスで作られているため、快適なフィット感、ゴム製のソール、シンプルなデザインが備わっています。用事やカジュアルな外出に最適なもので、ジーンズ、ショートパンツ、またはドレスと組み合わせて、スタイリッシュで楽な外観にすることができます。,"이 블랙 케드는 일상적인 마모를위한 고전적이고 다재다능한 선택입니다. 내구성이 뛰어난 캔버스로 제작 된 편안한 착용감, 고무 밑창 및 간단한 디자인이 특징입니다. 심부름이나 캐주얼 외출에 적합하며, 청바지, 반바지 또는 드레스와 짝을 이루어 세련되고 쉽게 보입니다.",هذه keds السوداء هي خيار كلاسيكي ومتعدد الاستخدامات للارتداء اليومي. مصنوعة من قماش متين ، فهي تتميز بتصميم مريح ونعل مطاطي وتصميم بسيط. مثالي لتشغيل المهمات أو النزهات غير الرسمية ، يمكن إقرانها مع الجينز أو السراويل القصيرة أو الفساتين لإلقاء نظرة أنيقة وبدون جهد.
Clothes.BlackT,Black T-shirt,Schwarzes T-Shirt,Camiseta negra,Camiseta preta,কালো টি-শার্ট,काली टी - शर्ट,T-shirt noir,黒いTシャツ,검은 색 티셔츠,قميص أسود
Clothes.BlackTDesk,"This black T-shirt is a wardrobe essential that can be dressed up or down. Made from soft and breathable fabric, it features a classic crew neck and short sleeves. The versatile black color makes it easy to pair with jeans, skirts, or shorts for a casual yet stylish look.","Dieses schwarze T-Shirt ist ein wesentlicher Kleiderschrank, das auf oder ab gekleidet werden kann. Es besteht aus weichem und atmungsaktivem Stoff und verfügt über einen klassischen Crew -Hals und kurze Ärmel. Die vielseitige schwarze Farbe macht es einfach, mit Jeans, Röcken oder Shorts zu kombinieren, um einen ungezwungenen, aber stilvollen Look zu erzielen.","Esta camiseta negra es un armario esencial que se puede vestir hacia arriba o hacia abajo. Hecho de tela suave y transpirable, presenta un clásico cuello de la tripulación y mangas cortas. El color negro versátil hace que sea fácil combinar con jeans, faldas o pantalones cortos para un aspecto informal pero elegante.","Esta camiseta preta é um guarda-roupa essencial que pode ser vestido para cima ou para baixo. Feito de tecido macio e respirável, possui um pescoço de tripulação clássico e mangas curtas. A versátil cor preta facilita o emparelhamento com jeans, saias ou shorts para uma aparência casual e elegante.","এই কালো টি-শার্টটি একটি ওয়ারড্রোব অপরিহার্য যা পোশাক পরে বা নীচে হতে পারে। নরম এবং শ্বাস প্রশ্বাসের ফ্যাব্রিক থেকে তৈরি এটিতে একটি ক্লাসিক ক্রু ঘাড় এবং শর্ট হাতা রয়েছে। বহুমুখী কালো রঙ জিন্স, স্কার্ট বা শর্টসগুলির সাথে একটি নৈমিত্তিক তবুও আড়ম্বরপূর্ণ চেহারার জন্য জুড়ি দেওয়া সহজ করে তোলে।","यह काली टी-शर्ट एक अलमारी आवश्यक है जिसे ऊपर या नीचे तैयार किया जा सकता है। नरम और सांस के कपड़े से निर्मित, इसमें एक क्लासिक क्रू गर्दन और छोटी आस्तीन है। बहुमुखी काला रंग एक आकस्मिक अभी तक स्टाइलिश लुक के लिए जींस, स्कर्ट या शॉर्ट्स के साथ जोड़ी बनाना आसान बनाता है।","Ce t-shirt noir est une armoire essentielle qui peut être habillée ou vers le bas. Fabriqué à partir de tissu doux et respirant, il dispose d'un cou d'équipage classique et de manches courtes. La couleur noire polyvalente facilite l'associer avec des jeans, des jupes ou des shorts pour un look décontracté mais élégant.",この黒いTシャツは、上下にドレスアップできるワードローブの必須です。柔らかく通気性のある生地で作られており、クラシックな乗組員の首と半袖が特徴です。汎用性の高い黒い色により、ジーンズ、スカート、またはショートパンツと簡単に組み合わせて、カジュアルでありながらスタイリッシュな外観になります。,"이 검은 티셔츠는 옷을 입거나 아래로 옷을 입을 수있는 옷장입니다. 부드럽고 통기성이 뛰어난 천으로 만들어진이 제품은 클래식 승무원 목과 짧은 슬리브를 특징으로합니다. 다재다능한 검은 색은 청바지, 스커트 또는 반바지와 쉽게 짝을 이루어 캐주얼하면서도 세련된 외관을 쉽게 사용할 수 있습니다.",هذا القميص الأسود هو خزانة ملابس أساسية يمكن ارتداؤها لأعلى أو لأسفل. مصنوع من نسيج ناعم ومتنفس ، ويتميز برقبة طاقم كلاسيكية وأكمام قصيرة. يجعل اللون الأسود متعدد الاستخدامات من السهل إقران الجينز أو التنانير أو السراويل القصيرة لإلقاء نظرة غير رسمية وأنيقة.
Clothes.BlueH,Blue hoodie,Blauer Hoodie,Sudadera con capucha azul,Hoodie azul,নীল হুডি,नीली हूडि,Sweat à capuche bleu,青いパーカー,블루 까마귀,هوديي الأزرق
